97300 100.00 705 50000 M0_2_50000_blastdb_BL60006.dna.00000001.out 3471549 3422254 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
3067 100.00 48454 50000 M0_2_50000_blastdb_BL60006.dna.00000001.out 3749428 3747882 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
3051 100.00 48462 50000 M0_2_50000_blastdb_BL60006.dna.00000001.out 3600419 3598881 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
2809 100.00 48580 50000 M0_2_50000_blastdb_BL60006.dna.00000001.out 2717773 2716353 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
2752 100.00 48601 50000 M0_2_50000_blastdb_BL60006.dna.00000001.out 4257280 4258679 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
2752 100.00 48601 50000 M0_2_50000_blastdb_BL60006.dna.00000001.out 287267 288666 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
2738 100.00 48601 50000 M0_2_50000_blastdb_BL60006.dna.00000001.out 3558065 3556665 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
1396 100.00 1 704 M0_2_50000_blastdb_BL60006.dna.00000001.out 4518338 4519041 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
1396 100.00 1 704 M0_2_50000_blastdb_BL60006.dna.00000001.out 3988800 3988097 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
1396 100.00 1 704 M0_2_50000_blastdb_BL60006.dna.00000001.out 2249516 2250219 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
119 95.00 48480 48555 M0_2_50000_blastdb_BL60006.dna.00000001.out 2717872 2717797 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
81 88.00 22408 22484 M0_2_50000_blastdb_BL60006.dna.00000001.out 2781129 2781205 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
77 85.00 22370 22479 M0_2_50000_blastdb_BL60006.dna.00000001.out 3970788 3970898 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
77 90.00 22405 22467 M0_2_50000_blastdb_BL60006.dna.00000001.out 1365863 1365801 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
75 93.00 22411 22464 M0_2_50000_blastdb_BL60006.dna.00000001.out 3511661 3511714 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
71 100.00 10526 10561 M0_2_50000_blastdb_BL60006.dna.00000001.out 232140 232175 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
69 100.00 10526 10560 M0_2_50000_blastdb_BL60006.dna.00000001.out 124831 124797 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
65 100.00 10528 10560 M0_2_50000_blastdb_BL60006.dna.00000001.out 3802074 3802042 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
63 97.00 10525 10560 M0_2_50000_blastdb_BL60006.dna.00000001.out 4783165 4783200 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
63 97.00 10525 10560 M0_2_50000_blastdb_BL60006.dna.00000001.out 4750623 4750588 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
63 95.00 10524 10563 M0_2_50000_blastdb_BL60006.dna.00000001.out 5070 5109 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
61 100.00 10531 10561 M0_2_50000_blastdb_BL60006.dna.00000001.out 4262916 4262886 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
61 97.00 10527 10561 M0_2_50000_blastdb_BL60006.dna.00000001.out 3743649 3743683 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
60 97.00 10527 10560 M0_2_50000_blastdb_BL60006.dna.00000001.out 3980202 3980235 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
60 97.00 10528 10561 M0_2_50000_blastdb_BL60006.dna.00000001.out 2711953 2711986 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
58 95.00 10524 10560 M0_2_50000_blastdb_BL60006.dna.00000001.out 4782491 4782527 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
58 97.00 10529 10561 M0_2_50000_blastdb_BL60006.dna.00000001.out 3594650 3594682 AL513382 Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete chromosome.
