Id,Sample_Name,Country_Of_Isolation,Longitude,Latitude,Year,Accession,Source,Serotype,Transmission_Event,Transmission_Event__color,Transmission_Event__shape,LAT,LAT__color,LAT__shape,Wave,Wave__color,Wave__shape,ampicillin__color,chloramphenicol__color,cefalotin__color,ciprofloxacin__color,colistin__color,cefotaxime__color,doxycycline__color,erythromycin__color,nitrofurantoin__color,nalidixic_acid__color,norfloxacin__color,vibriostatic_agent_O129__color,ofloxacin__color,polymyxin_B__color,pefloxacin__color,streptomycin__color,sulfonamides__color,trimethoprim_sulfamethoxazole__color,tetracycline__color,incA_C_plasmid,SXT_R391,GI_AMR,blaTEM,blaCARB,blaSHV,blaOXA,blaCTX_M,blaACT,blaCMY,strA_strB,aadA1,aadA2,aph_3___I,Other_aminoglycosides,aadA_New,catB9,catA1,catA2,floR,cmlA1,mphA,others,sul1,sul2,tet_A_,tet_B_,tet_C_,tet_D_,tet_G_,tet_New,dfrA1,dfrA12,dfrA15,dfrA18,dfrA23,dfrA30,dfrA31,dfrA_New,PMQR,gyrA,gyrB,parC,parE
M66,M66,Indonesia,113.921327,-0.789275,1937,CP001233/CP001234,No_Data,Hikojima,,white,circle,,white,circle,Outgroup,black,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNRVC960188_ACTGAT_L002,CNRVC960188,Indonesia,113.921327,-0.789275,1937,ERR1879596,No_Data,Autoagglutinable,,white,circle,,white,circle,Outgroup,black,circle,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNRVC961190_CATGGC_L002,CNRVC961190,Indonesia,113.921327,-0.789275,1937,ERR1879635,Human,Ogawa,,white,circle,,white,circle,Outgroup,black,circle,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5174_7_5,A6,Indonesia,113.921327,-0.789275,1957,ERR025382,No_Data,Inaba,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR576982,6311-CDC,Indonesia,113.921327,-0.789275,1961,ERR576982,No_Data,No_Data,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR576981,6312_CDC,Indonesia,113.921327,-0.789275,1961,ERR576981,Clinical,Ogawa,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR576972,D118-CDC,China,104.195397,35.861660,1961,ERR576972,No_Data,No_Data,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR579055,2921_CDC,China,104.195397,35.861660,1962,ERR579055,No_Data,Ogawa,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR579057,2894_CDC,China,104.195397,35.861660,1961,ERR579057,No_Data,Ogawa,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR579060,2865-CDC,China,104.195397,35.861660,1961,ERR579060,No_Data,No_Data,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR576980,63244_CDC,China,104.195397,35.861660,1963,ERR576980,No_Data,Ogawa,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR579058,2881_CDC,China,104.195397,35.861660,1961,ERR579058,No_Data,Ogawa,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNRVC930061_TGACCA_L002,CNRVC930061,China,104.195397,35.861660,1961,ERR1879565   ,Clinical,Ogawa,,white,circle,,white,circle,1,#D85027,circle,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR579066,2744-CDC,China,104.195397,35.861660,1962,ERR579066,No_Data,No_Data,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
5174_7_7,A18,India,78.962880,20.593684,1977,ERR025384,No_Data,Inaba,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR579053,2981_CDC,China,104.195397,35.861660,1965,ERR579053,No_Data,Inaba,,white,circle,,white,circle,1,#D85027,circle,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNRVC960976_CACGAT_L002,CNRVC960976,PapuaNewGuinea,143.955550,-6.314993,1962,ERR1879629 ,Clinical,Ogawa,,white,circle,,white,circle,1,#D85027,circle,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,
16244_6_40,CNRVC930027,Egypt,-11.779889,8.460555,1966,ERR976397,Clinical,Ogawa,sporadic/localoutbreak,grey,circle,,white,circle,1,#D85027,circle,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#117899,#D85027,#117899,#117899,#117899,#117899,#117899,,,,,,,,,,,,,,,,,catB9,,,,,,,,,,,,,,,,,,,,,,,,,,,wt(sSNPA1383G)
