26870 98.00 1 14409 2_50000_blastdb_BX571856.fas.00000001.out 1 14412 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
18320 98.00 14430 24417 2_50000_blastdb_BX571856.fas.00000001.out 14440 24431 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
11190 98.00 24741 30835 2_50000_blastdb_BX571856.fas.00000001.out 24768 30863 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
5802 97.00 30863 34151 2_50000_blastdb_BX571856.fas.00000001.out 30892 34180 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
2557 97.00 34230 35730 2_50000_blastdb_BX571856.fas.00000001.out 56993 58489 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
297 98.00 35793 35962 2_50000_blastdb_BX571856.fas.00000001.out 58548 58716 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
153 99.00 24217 24297 2_50000_blastdb_BX571856.fas.00000001.out 1937100 1937020 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
149 100.00 24223 24297 2_50000_blastdb_BX571856.fas.00000001.out 1903780 1903706 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
145 100.00 24225 24297 2_50000_blastdb_BX571856.fas.00000001.out 1937396 1937324 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
143 100.00 24143 24214 2_50000_blastdb_BX571856.fas.00000001.out 2229766 2229695 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
143 100.00 24143 24214 2_50000_blastdb_BX571856.fas.00000001.out 1903345 1903274 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
83 96.00 7101 7150 2_50000_blastdb_BX571856.fas.00000001.out 1386953 1387002 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
63 88.00 5087 5146 2_50000_blastdb_BX571856.fas.00000001.out 1384910 1384969 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
50 90.00 5328 5368 2_50000_blastdb_BX571856.fas.00000001.out 1385148 1385188 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
46 94.00 26755 26785 2_50000_blastdb_BX571856.fas.00000001.out 1558583 1558553 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
44 100.00 9145 9166 2_50000_blastdb_BX571856.fas.00000001.out 2297675 2297654 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
44 91.00 32202 32235 2_50000_blastdb_BX571856.fas.00000001.out 972672 972705 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
42 89.00 42496 42532 2_50000_blastdb_BX571856.fas.00000001.out 2608464 2608500 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
42 100.00 25952 25972 2_50000_blastdb_BX571856.fas.00000001.out 1828356 1828336 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
42 89.00 7629 7665 2_50000_blastdb_BX571856.fas.00000001.out 1387481 1387517 BX571857 Staphylococcus aureus strain MSSA476, complete genome.
